Wall time,Step,Value
1492279148.92663,50,nan
1492279332.110578,100,0.632315993309021
1492279545.944245,150,0.7686511278152466
1492279733.311568,200,0.7811728119850159
1492279954.901513,250,0.8486171960830688
1492280148.829726,300,0.8585512638092041
1492280351.640052,350,0.8850425481796265
1492280560.652962,400,0.8909410238265991
1492280765.969962,450,0.9062514901161194
1492280954.774304,500,0.9093843698501587
1492281155.458625,550,0.926649272441864
1492281335.31873,600,0.9179562926292419
1492281534.634378,650,0.9366810321807861
1492281738.001078,700,0.9328168034553528
1492281951.043763,750,0.9394197463989258
1492282134.410745,800,0.9366852641105652
1492282337.781108,850,0.9421982765197754
1492282509.125128,900,0.9396246075630188
1492282704.310778,950,0.949713945388794
1492282887.726723,1000,0.9457511305809021
